Player,Pos,Age,Min/Gm,FGM/Gm,FGA/Gm,FG%,3PtM/Gm,3PtA/Gm,3P%,2PtM/Gm,2PtA/Gm,2P%,eFG%,FTM/Gm,FTA/Gm,FT%,O-Reb/Gm,D-Reb/Gm,Reb/Gm,Ast/Gm,Stl/Gm,Blk/Gm,TO/Gm,Fouls/Gm,Pts/Gm,Team,Games,Off +/-,Def +/-,Real +/-,Wins +/-,PIE,Pace,W,L,Off Rtg,Def Rtg,Net Rtg,Ast%,Ast/TO,AST RATIO,O-Reb%,D-Reb%,Reb%,TO RATIO,True Shooting%,Usage%,Salary
Russell Westbrook,PG,28.0,34.6,10.2,24.0,0.425,2.5,7.2,0.34299999999999997,7.7,16.8,0.45899999999999996,0.47600000000000003,8.8,10.4,0.845,1.7,9.0,10.7,10.4,1.6,0.4,5.4,2.3,31.6,OKC,81.0,6.74,-0.47,6.27,17.34,23.0,102.31,46.0,35.0,107.9,104.6,3.3,54.3,1.92,23.4,5.3,27.9,16.7,12.2,55.4,40.8,26500000.0
James Harden,PG,27.0,36.4,8.3,18.9,0.44,3.2,9.3,0.34700000000000003,5.1,9.6,0.53,0.525,9.2,10.9,0.847,1.2,7.0,8.1,11.2,1.5,0.5,5.7,2.7,29.1,HOU,81.0,6.38,-1.57,4.81,15.54,19.0,102.98,54.0,27.0,113.6,107.3,6.3,50.5,1.95,27.6,3.5,21.2,12.3,14.1,61.3,34.1,26500000.0
Isaiah Thomas,PG,27.0,33.8,9.0,19.4,0.46299999999999997,3.2,8.5,0.379,5.8,10.9,0.528,0.546,7.8,8.5,0.909,0.6,2.1,2.7,5.9,0.9,0.2,2.8,2.2,28.9,BOS,76.0,5.72,-3.89,1.83,8.19,16.1,99.84,51.0,25.0,113.6,108.6,5.0,30.5,2.13,18.5,1.9,7.0,4.5,8.7,62.5,33.7,6587132.0
Anthony Davis,C,23.0,36.1,10.3,20.3,0.505,0.5,1.8,0.299,9.7,18.6,0.524,0.518,6.9,8.6,0.802,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,28.0,NO,75.0,0.45,3.9,4.35,12.81,19.2,100.19,31.0,44.0,104.2,102.5,1.7,11.0,0.87,7.3,6.7,26.9,17.0,8.4,58.0,32.6,22116750.0
DeMar DeRozan,SG,27.0,35.4,9.7,20.9,0.467,0.4,1.7,0.266,9.3,19.2,0.484,0.47700000000000004,7.4,8.7,0.8420000000000001,0.9,4.3,5.2,3.9,1.1,0.2,2.4,1.8,27.3,TOR,74.0,2.21,-2.04,0.17,5.46,15.5,97.69,47.0,27.0,110.2,107.0,3.3,20.4,1.61,12.6,3.0,13.4,8.3,7.8,55.2,34.2,
DeMarcus Cousins,C,26.0,34.2,9.0,19.9,0.452,1.8,5.0,0.361,7.2,14.8,0.483,0.498,7.2,9.3,0.772,2.1,8.9,11.0,4.6,1.4,1.3,3.7,3.9,27.0,NO/SAC,72.0,3.56,0.64,4.2,11.26,17.8,97.11,30.0,42.0,106.7,109.0,-2.2,26.2,1.23,14.3,7.2,30.5,18.8,11.6,56.2,36.4,16957900.0
Damian Lillard,PG,26.0,35.9,8.8,19.8,0.444,2.9,7.7,0.37,6.0,12.1,0.49200000000000005,0.516,6.5,7.3,0.895,0.6,4.3,4.9,5.9,0.9,0.3,2.6,2.0,27.0,POR,75.0,4.63,-1.49,3.14,10.72,15.9,99.68,38.0,37.0,110.1,108.9,1.2,27.7,2.23,18.6,1.8,13.4,7.5,8.3,58.6,30.9,24328425.0
LeBron James,SF,32.0,37.8,9.9,18.2,0.5479999999999999,1.7,4.6,0.363,8.3,13.5,0.611,0.594,4.8,7.2,0.674,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4,CLE,74.0,6.49,1.93,8.42,20.43,18.3,98.38,51.0,23.0,114.9,107.1,7.7,38.8,2.13,25.6,4.0,20.9,12.7,12.0,61.9,29.7,30963450.0
Kawhi Leonard,SF,25.0,33.4,8.6,17.7,0.485,2.0,5.2,0.38,6.6,12.5,0.529,0.541,6.3,7.2,0.88,1.1,4.7,5.8,3.5,1.8,0.7,2.1,1.6,25.5,SA,74.0,5.83,1.25,7.08,15.53,17.4,95.79,54.0,20.0,112.6,104.0,8.6,18.2,1.69,13.3,3.8,16.0,10.0,7.9,61.0,31.2,17638063.0
Stephen Curry,PG,28.0,33.4,8.5,18.3,0.46799999999999997,4.1,10.0,0.41100000000000003,4.4,8.3,0.537,0.58,4.1,4.6,0.898,0.8,3.7,4.5,6.6,1.8,0.2,3.0,2.3,25.3,GS,79.0,7.27,0.14,7.41,18.8,15.1,105.08,65.0,14.0,118.1,100.9,17.2,28.7,2.19,22.2,2.7,11.3,7.3,10.1,62.4,29.2,12112359.0
Kyrie Irving,PG,24.0,35.1,9.3,19.7,0.473,2.5,6.1,0.401,6.9,13.6,0.505,0.535,4.1,4.6,0.905,0.7,2.5,3.2,5.8,1.2,0.3,2.5,2.2,25.2,CLE,72.0,4.35,-2.3,2.05,8.28,13.5,99.12,47.0,25.0,114.2,109.1,5.1,27.8,2.32,19.3,2.3,7.5,5.0,8.3,58.0,30.2,17638063.0
Kevin Durant,SF,28.0,33.4,8.9,16.5,0.537,1.9,5.0,0.375,7.0,11.5,0.608,0.594,5.4,6.2,0.875,0.6,7.6,8.3,4.8,1.1,1.6,2.2,1.9,25.1,GS,62.0,4.41,1.33,5.74,12.24,18.6,103.71,51.0,11.0,117.2,101.3,16.0,21.8,2.17,18.4,2.3,23.2,13.7,8.5,65.1,27.6,26500000.0
Karl-Anthony Towns,C,21.0,37.0,9.8,18.0,0.542,1.2,3.4,0.36700000000000005,8.5,14.7,0.5820000000000001,0.5760000000000001,4.3,5.2,0.8320000000000001,3.6,8.7,12.3,2.7,0.7,1.3,2.6,2.9,25.1,MIN,82.0,3.54,-1.41,2.13,10.0,17.1,97.1,31.0,51.0,109.9,110.8,-0.9,12.7,1.04,10.5,11.4,27.7,19.5,10.1,61.8,27.4,5960160.0
Jimmy Butler,SF,27.0,37.0,7.5,16.5,0.455,1.2,3.3,0.36700000000000005,6.3,13.2,0.47700000000000004,0.49200000000000005,7.7,8.9,0.865,1.7,4.5,6.2,5.5,1.9,0.4,2.1,1.5,23.9,CHI,76.0,4.82,1.8,6.62,17.35,16.4,97.78,40.0,36.0,106.4,103.4,3.0,24.3,2.62,19.6,5.0,13.1,9.0,7.5,58.6,26.5,17552209.0
Paul George,SF,26.0,35.9,8.3,18.0,0.461,2.6,6.6,0.39299999999999996,5.7,11.4,0.501,0.534,4.5,5.0,0.898,0.8,5.8,6.6,3.3,1.6,0.4,2.9,2.7,23.7,IND,75.0,2.67,-0.09,2.58,9.72,13.6,98.13,39.0,36.0,108.9,106.0,2.9,15.7,1.14,12.7,2.5,17.8,10.3,11.1,58.7,29.0,18314532.0
Andrew Wiggins,SF,21.0,37.2,8.6,19.1,0.452,1.3,3.5,0.35600000000000004,7.4,15.6,0.473,0.484,5.0,6.6,0.76,1.2,2.8,4.0,2.3,1.0,0.4,2.3,2.2,23.6,MIN,82.0,1.56,-3.16,-1.6,2.94,9.5,97.56,31.0,51.0,109.8,110.4,-0.5,10.4,1.01,8.7,3.9,8.7,6.3,8.6,53.4,28.8,6006600.0
Kemba Walker,PG,26.0,34.7,8.1,18.3,0.444,3.0,7.6,0.39899999999999997,5.1,10.7,0.47600000000000003,0.527,3.8,4.5,0.847,0.6,3.3,3.9,5.5,1.1,0.3,2.1,1.5,23.2,CHA,79.0,3.93,-1.25,2.68,9.95,13.7,98.19,36.0,43.0,109.0,105.4,3.6,28.2,2.58,19.6,1.8,10.7,6.2,7.6,56.9,29.1,12000000.0
Bradley Beal,SG,23.0,34.9,8.3,17.2,0.48200000000000004,2.9,7.2,0.40399999999999997,5.4,10.0,0.5379999999999999,0.5660000000000001,3.7,4.4,0.825,0.7,2.4,3.1,3.5,1.1,0.3,2.0,2.2,23.1,WSH,77.0,3.29,-1.04,2.25,9.26,11.9,100.11,48.0,29.0,112.1,106.5,5.6,15.4,1.71,14.1,2.2,7.8,5.0,8.2,60.4,26.3,22116750.0
John Wall,PG,26.0,36.4,8.3,18.4,0.451,1.1,3.5,0.327,7.2,14.9,0.48,0.48200000000000004,5.4,6.8,0.8009999999999999,0.8,3.4,4.2,10.7,2.0,0.6,4.1,1.9,23.1,WSH,78.0,3.52,-1.26,2.26,9.9,15.3,101.07,48.0,30.0,111.2,107.3,3.9,45.0,2.58,29.5,2.3,10.5,6.4,11.4,54.1,30.2,16957900.0
Giannis Antetokounmpo,SF,22.0,35.6,8.2,15.7,0.521,0.6,2.3,0.272,7.6,13.5,0.563,0.541,5.9,7.7,0.77,1.8,7.0,8.8,5.4,1.6,1.9,2.9,3.1,22.9,MIL,80.0,2.35,1.86,4.21,13.0,17.6,96.46,42.0,38.0,107.4,105.9,1.5,26.9,1.85,19.8,5.8,22.6,14.3,10.7,59.9,28.3,2995421.0
Carmelo Anthony,SF,32.0,34.3,8.1,18.8,0.433,2.0,5.7,0.359,6.1,13.1,0.466,0.488,4.1,4.9,0.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4,NY,74.0,1.87,-1.75,0.12,5.26,11.8,98.48,29.0,45.0,106.1,111.1,-5.0,14.1,1.39,11.1,2.6,16.0,9.2,8.0,53.5,29.0,24559380.0
Kyle Lowry,PG,30.0,37.4,7.1,15.3,0.46399999999999997,3.2,7.8,0.41200000000000003,3.9,7.5,0.518,0.569,5.0,6.1,0.8190000000000001,0.8,4.0,4.8,7.0,1.5,0.3,2.9,2.8,22.4,TOR,60.0,4.7,1.18,5.88,12.67,14.7,96.85,36.0,24.0,112.8,104.6,8.2,29.3,2.41,25.0,2.4,12.1,7.3,10.4,62.3,24.9,
Klay Thompson,SG,26.0,34.0,8.3,17.6,0.46799999999999997,3.4,8.3,0.414,4.8,9.3,0.516,0.565,2.4,2.8,0.853,0.6,3.0,3.7,2.1,0.8,0.5,1.6,1.8,22.3,GS,78.0,2.78,-0.45,2.33,9.53,10.9,102.15,66.0,12.0,115.6,100.9,14.7,9.0,1.25,9.1,2.2,9.1,6.0,7.3,59.2,26.2,16663575.0
Devin Booker,SG,20.0,35.0,7.8,18.3,0.423,1.9,5.2,0.363,5.9,13.2,0.447,0.475,4.7,5.7,0.8320000000000001,0.6,2.6,3.2,3.4,0.9,0.3,3.1,3.1,22.1,PHX,78.0,1.28,-2.58,-1.3,3.29,8.9,103.62,24.0,54.0,105.6,110.0,-4.4,16.0,1.11,12.6,1.8,8.2,4.9,11.3,53.1,28.4,2223600.0
Gordon Hayward,SF,26.0,34.5,7.5,15.8,0.47100000000000003,2.0,5.1,0.39799999999999996,5.4,10.7,0.506,0.536,5.0,5.9,0.8440000000000001,0.7,4.7,5.4,3.5,1.0,0.3,1.9,1.6,21.9,UTAH,73.0,3.14,-0.08,3.06,9.45,15.8,93.44,46.0,27.0,109.5,102.4,7.1,17.9,1.8,14.5,2.3,15.2,9.0,8.1,59.5,27.6,16073140.0
Blake Griffin,PF,27.0,34.0,7.9,15.9,0.493,0.6,1.9,0.336,7.2,14.1,0.514,0.513,5.2,6.9,0.76,1.8,6.3,8.1,4.9,0.9,0.4,2.3,2.6,21.6,LAC,61.0,3.02,0.76,3.78,9.2,15.2,98.71,40.0,21.0,115.2,104.6,10.6,23.5,2.11,18.8,6.4,20.4,13.7,8.9,56.9,27.8,20140839.0
Eric Bledsoe,PG,27.0,33.0,6.8,15.7,0.434,1.6,4.7,0.335,5.2,11.0,0.47700000000000004,0.485,5.9,6.9,0.847,0.8,4.1,4.8,6.3,1.4,0.5,3.4,2.5,21.1,PHX,66.0,2.33,-0.64,1.69,6.85,14.1,103.09,22.0,44.0,106.1,110.2,-4.1,30.9,1.87,22.3,2.5,13.9,8.0,11.9,56.3,28.0,14000000.0
Mike Conley,PG,29.0,33.2,6.7,14.6,0.46,2.5,6.1,0.408,4.2,8.6,0.49700000000000005,0.545,4.6,5.3,0.8590000000000001,0.4,3.0,3.5,6.3,1.3,0.3,2.3,1.8,20.5,MEM,69.0,4.67,-0.2,4.47,10.5,16.0,94.64,35.0,34.0,108.6,105.5,3.1,32.9,2.78,24.6,1.5,10.8,6.1,8.9,60.4,26.3,26540100.0
Brook Lopez,C,28.0,29.6,7.4,15.6,0.474,1.8,5.2,0.34600000000000003,5.6,10.5,0.536,0.531,3.9,4.9,0.81,1.6,3.8,5.4,2.3,0.5,1.7,2.5,2.6,20.5,BKN,75.0,1.4,0.55,1.95,7.59,12.4,104.03,20.0,55.0,103.4,107.6,-4.2,14.3,0.96,10.4,5.8,13.0,9.5,10.9,57.8,29.0,21165675.0
Goran Dragic,PG,30.0,33.7,7.3,15.4,0.475,1.6,4.0,0.405,5.7,11.4,0.499,0.527,4.1,5.2,0.79,0.8,3.0,3.8,5.8,1.2,0.2,2.9,2.7,20.3,MIA,73.0,2.54,-1.62,0.92,6.3,13.0,98.16,40.0,33.0,106.7,106.0,0.6,28.3,2.0,22.0,2.8,9.8,6.3,11.0,57.5,26.8,15891725.0
Joel Embiid,C,22.0,25.4,6.5,13.8,0.466,1.2,3.2,0.36700000000000005,5.3,10.7,0.495,0.508,6.2,7.9,0.7829999999999999,2.0,5.9,7.8,2.1,0.9,2.5,3.8,3.6,20.2,PHI,31.0,-0.57,2.27,1.7,2.46,17.4,100.25,13.0,18.0,102.4,99.1,3.2,17.4,0.56,9.2,9.2,24.7,17.3,16.3,58.4,36.3,4826160.0
Jabari Parker,PF,21.0,33.9,7.8,16.0,0.49,1.3,3.5,0.365,6.5,12.5,0.525,0.53,3.2,4.3,0.743,1.5,4.6,6.2,2.8,1.0,0.4,1.8,2.2,20.1,MIL,51.0,0.83,-1.61,-0.78,2.59,12.1,98.47,22.0,29.0,106.8,109.3,-2.5,13.7,1.53,12.4,5.3,15.1,10.3,8.1,56.3,26.0,5374320.0
Marc Gasol,C,32.0,34.2,7.2,15.7,0.45899999999999996,1.4,3.6,0.38799999999999996,5.8,12.1,0.48,0.503,3.8,4.5,0.8370000000000001,0.8,5.5,6.3,4.6,0.9,1.3,2.2,2.3,19.5,MEM,74.0,1.86,0.72,2.58,8.69,15.1,94.43,40.0,34.0,106.5,105.1,1.4,24.6,2.04,18.7,2.7,19.0,10.6,9.2,55.4,26.7,21165675.0
Harrison Barnes,PF,24.0,35.5,7.6,16.2,0.46799999999999997,1.0,2.8,0.35100000000000003,6.6,13.4,0.49200000000000005,0.498,3.1,3.6,0.861,1.2,3.8,5.0,1.5,0.8,0.2,1.3,1.6,19.2,DAL,79.0,-0.44,0.11,-0.33,4.78,11.2,93.9,32.0,47.0,103.6,105.7,-2.1,7.6,1.14,7.2,3.7,13.2,8.2,6.3,54.1,25.5,
Kevin Love,PF,28.0,31.4,6.2,14.5,0.42700000000000005,2.4,6.5,0.373,3.8,8.0,0.47100000000000003,0.51,4.3,4.9,0.871,2.5,8.6,11.1,1.9,0.9,0.4,2.0,2.1,19.0,CLE,60.0,2.77,2.26,5.03,9.76,14.8,99.66,40.0,20.0,113.2,106.0,7.2,9.3,0.95,9.4,8.7,29.5,19.3,9.9,57.3,25.5,21165675.0
Zach LaVine,SG,21.0,37.2,6.9,15.1,0.45899999999999996,2.6,6.6,0.387,4.4,8.5,0.515,0.544,2.5,3.0,0.836,0.4,3.0,3.4,3.0,0.9,0.2,1.8,2.2,18.9,MIN,47.0,-0.62,-2.35,-2.97,0.17,9.5,96.38,16.0,31.0,106.5,110.1,-3.6,12.8,1.64,14.0,1.2,9.8,5.3,8.5,57.6,21.8,2240880.0
Rudy Gay,SF,30.0,33.8,6.7,14.7,0.455,1.4,3.8,0.37200000000000005,5.3,11.0,0.483,0.502,3.9,4.6,0.855,1.2,5.2,6.3,2.8,1.5,0.9,2.5,2.6,18.7,SAC,30.0,-0.21,1.96,1.75,3.1,12.5,98.07,11.0,19.0,106.5,104.8,1.7,14.0,1.12,12.6,3.9,17.6,10.7,11.2,55.9,25.1,13333333.0
Dwyane Wade,SG,35.0,29.9,6.9,15.9,0.434,0.8,2.4,0.31,6.2,13.5,0.456,0.457,3.7,4.7,0.794,1.1,3.5,4.5,3.8,1.4,0.7,2.3,1.9,18.3,CHI,60.0,-0.45,-0.46,-0.91,2.52,12.1,98.2,29.0,31.0,103.1,105.5,-2.4,22.1,1.65,15.8,3.7,12.5,8.0,9.6,50.8,29.3,23200000.0
Danilo Gallinari,SF,28.0,33.9,5.3,11.9,0.447,2.0,5.1,0.389,3.3,6.8,0.491,0.531,5.5,6.1,0.902,0.6,4.5,5.2,2.1,0.6,0.2,1.3,1.5,18.2,DEN,63.0,2.67,0.21,2.88,8.39,11.4,100.53,31.0,32.0,112.1,109.4,2.7,9.0,1.65,11.9,2.1,14.4,8.4,7.2,62.2,20.0,15050000.0
Paul Millsap,PF,31.0,34.0,6.2,14.1,0.442,1.1,3.5,0.311,5.1,10.6,0.486,0.48100000000000004,4.5,5.9,0.768,1.6,6.1,7.7,3.7,1.3,0.9,2.3,2.7,18.1,ATL,69.0,1.23,3.35,4.58,11.51,12.6,100.22,40.0,29.0,105.0,103.0,2.0,17.2,1.59,16.2,5.3,19.2,12.4,10.1,54.2,24.3,20072033.0
Chris Paul,PG,31.0,31.5,6.1,12.9,0.47600000000000003,2.0,5.0,0.41100000000000003,4.1,7.9,0.518,0.555,3.8,4.3,0.892,0.7,4.3,5.0,9.2,2.0,0.1,2.4,2.4,18.1,LAC,61.0,5.16,2.76,7.92,13.48,18.2,98.19,43.0,18.0,116.2,101.3,14.9,44.4,3.83,35.0,2.5,14.9,8.9,9.1,61.4,24.3,22868827.0
