Player,Pos,HT,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
Alex Abrines,GF,78.00,190.00,23.00,OKC,68.00,0.00,FC Barcelona Lassa (Spain),2013 Rnd 2 Pick 2,Spain
Quincy Acy,F,79.00,240.00,26.00,"BRK, DAL",38.00,4.00,Baylor,2012 Rnd 2 Pick 7,United States
Steven Adams,C,85.00,255.00,23.00,OKC,80.00,3.00,Pittsburgh,2013 Rnd 1 Pick 12,New Zealand
Arron Afflalo,SG,77.00,210.00,31.00,SAC,61.00,9.00,UCLA,2007 Rnd 1 Pick 27,United States
Alexis Ajinca,C,86.00,248.00,28.00,NOP,39.00,6.00,Hyeres-Toulon (France),2008 Rnd 1 Pick 20,France
Joe Johnson,SG,79.00,240.00,35.00,UTA,78.00,15.00,Arkansas,2001 Rnd 1 Pick 10,United States
LaMarcus Aldridge,FC,83.00,260.00,31.00,SAS,72.00,10.00,Texas,2006 Rnd 1 Pick 2,United States
Lavoy Allen,PF,81.00,260.00,28.00,IND,61.00,5.00,Temple,2011 Rnd 2 Pick 20,United States
Tony Allen,SG,76.00,213.00,35.00,MEM,71.00,12.00,Oklahoma State,2004 Rnd 1 Pick 25,United States
Al-Farouq Aminu,F,81.00,220.00,26.00,POR,61.00,6.00,Wake Forest,2010 Rnd 1 Pick 8,United States
Chris Andersen,FC,82.00,245.00,38.00,CLE,12.00,13.00,Blinn,"1999 NBA Draft, Undrafted",United States
Alan Anderson,GF,78.00,220.00,34.00,LAC,30.00,7.00,Michigan State,"2005 NBA Draft, Undrafted",United States
Justin Anderson,F,78.00,230.00,23.00,"DAL, PHL",75.00,1.00,Virginia,2015 Rnd 1 Pick 21,United States
Kyle Anderson,PF,81.00,230.00,23.00,SAS,72.00,2.00,UCLA,2014 Rnd 1 Pick 30,United States
Ryan Anderson,PF,82.00,240.00,28.00,HOU,72.00,8.00,California,2008 Rnd 1 Pick 21,United States
Giannis Antetokounmpo,F,83.00,222.00,22.00,MIL,80.00,3.00,Filathlitikos Div II Greece (Greece),2013 Rnd 1 Pick 15,Greece
Carmelo Anthony,F,80.00,240.00,32.00,NYK,74.00,13.00,Syracuse,2003 Rnd 1 Pick 3,United States
Joel Anthony,C,81.00,245.00,34.00,SAS,19.00,9.00,UNLV,"2007 NBA Draft, Undrafted",Canada
Trevor Ariza,SF,80.00,215.00,31.00,HOU,80.00,12.00,UCLA,2004 Rnd 2 Pick 14,United States
Bobby Portis,PF,83.00,248.00,22.00,CHI,64.00,1.00,Arkansas,2015 Rnd 1 Pick 22,United States
Omer Asik,C,85.00,255.00,30.00,NOP,31.00,6.00,Fenerbahce Ulker (Turkey),2008 Rnd 2 Pick 6,Turkey
D.J. Augustin,G,73.00,183.00,29.00,ORL,78.00,8.00,Texas,2008 Rnd 1 Pick 9,United States
Luke Babbitt,SF,81.00,225.00,27.00,MIA,68.00,6.00,Nevada,2010 Rnd 1 Pick 16,United States
Ron Baker,G,76.00,220.00,23.00,NYK,52.00,0.00,Wichita State,"2016 NBA Draft, Undrafted",United States
Wade Baldwin IV,G,76.00,202.00,20.00,MEM,33.00,0.00,Vanderbilt,2016 Rnd 1 Pick 17,United States
Leandro Barbosa,G,75.00,194.00,34.00,PHX,67.00,13.00,Bauru (Brazil),2003 Rnd 1 Pick 28,Brazil
J.J. Barea,G,73.00,185.00,32.00,DAL,35.00,10.00,Northeastern,"2006 NBA Draft, Undrafted",Puerto Rico
Harrison Barnes,SF,80.00,225.00,24.00,DAL,79.00,4.00,North Carolina,2012 Rnd 1 Pick 7,United States
Matt Barnes,GF,79.00,226.00,36.00,"GOS, SAC",74.00,14.00,UCLA,2002 Rnd 2 Pick 17,United States
Will Barton,GF,78.00,175.00,26.00,DEN,60.00,4.00,Memphis,2012 Rnd 2 Pick 10,United States
Brandon Bass,PF,80.00,250.00,31.00,LAC,52.00,11.00,LSU,2005 Rnd 2 Pick 3,United States
Nicolas Batum,F,80.00,200.00,28.00,CHA,77.00,8.00,Le Mans Sarthe Basket (France),2008 Rnd 1 Pick 25,France
Jerryd Bayless,G,75.00,200.00,28.00,PHI,3.00,8.00,Arizona,2008 Rnd 1 Pick 11,United States
Aron Baynes,C,82.00,260.00,30.00,DET,75.00,4.00,Washington State,"2009 NBA Draft, Undrafted",New Zealand
Kent Bazemore,GF,77.00,201.00,27.00,ATL,73.00,4.00,Old Dominion,"2012 NBA Draft, Undrafted",United States
Bradley Beal,SG,77.00,207.00,23.00,WAS,77.00,4.00,Florida,2012 Rnd 1 Pick 3,United States
Malik Beasley,SG,77.00,195.00,20.00,DEN,22.00,0.00,Florida State,2016 Rnd 1 Pick 19,United States
Cole Aldrich,C,83.00,250.00,28.00,MIN,62.00,6.00,Kansas,2010 Rnd 1 Pick 11,United States
Marco Belinelli,G,77.00,210.00,30.00,CHA,74.00,9.00,Fortituto Kontatto Bologna (Italy),2007 Rnd 1 Pick 18,Italy
DeAndre' Bembry,GF,78.00,210.00,22.00,ATL,38.00,0.00,Saint Joseph's,2016 Rnd 1 Pick 21,United States
Dragan Bender,PF,85.00,225.00,19.00,PHX,43.00,0.00,Maccabi FOX Tel Aviv (Israel),2016 Rnd 1 Pick 4,Bosnia and Herzegovina
Anthony Bennett,PF,80.00,235.00,23.00,BRK,23.00,3.00,UNLV,2013 Rnd 1 Pick 1,Canada
Ben Bentil,F,81.00,235.00,21.00,DAL,3.00,0.00,Providence,2016 Rnd 2 Pick 21,Ghana
Davis Bertans,SF,82.00,210.00,24.00,SAS,67.00,0.00,Union Olimpija (Slovenia),2011 Rnd 2 Pick 12,Latvia
Patrick Beverley,PG,73.00,185.00,28.00,HOU,67.00,4.00,Dnipro Dnipropetrovsk (Ukraine),2009 Rnd 2 Pick 12,United States
Bismack Biyombo,PF,81.00,255.00,24.00,ORL,81.00,5.00,Montakit Fuenlabrada (Spain),2011 Rnd 1 Pick 7,Democratic Republic of the Congo
Nemanja Bjelica,PF,82.00,225.00,28.00,MIN,65.00,1.00,KK Crvena Zvezda (Serbia),2010 Rnd 2 Pick 5,Serbia
Darrell Arthur,PF,81.00,235.00,28.00,DEN,41.00,8.00,Kansas,2008 Rnd 1 Pick 27,United States
Eric Bledsoe,PG,73.00,205.00,27.00,PHX,66.00,6.00,Kentucky,2010 Rnd 1 Pick 18,United States
Bojan Bogdanovic,F,80.00,216.00,27.00,"BRK, WAS",81.00,2.00,KK Cibona (Croatia),2011 Rnd 2 Pick 1,Bosnia and Herzegovina
Andrew Bogut,C,85.00,260.00,32.00,"CLE, DAL",27.00,11.00,Utah,2005 Rnd 1 Pick 1,Australia
Joel Bolomboy,FC,81.00,235.00,23.00,UTA,12.00,0.00,Weber State,2016 Rnd 2 Pick 22,United States
Devin Booker,SG,78.00,206.00,20.00,PHX,78.00,1.00,Kentucky,2015 Rnd 1 Pick 13,United States
Trevor Booker,PF,80.00,228.00,29.00,BRK,71.00,6.00,Clemson,2010 Rnd 1 Pick 23,United States
Avery Bradley,PG,74.00,180.00,26.00,BOS,55.00,6.00,Texas,2010 Rnd 1 Pick 19,United States
Corey Brewer,GF,81.00,186.00,30.00,"HOU, LAL",82.00,9.00,Florida,2007 Rnd 1 Pick 7,United States
Malcolm Brogdon,SG,77.00,215.00,24.00,MIL,75.00,0.00,Virginia,2016 Rnd 2 Pick 6,United States
Aaron Brooks,G,73.00,161.00,32.00,IND,65.00,8.00,Oregon,2007 Rnd 1 Pick 26,United States
Anthony Brown,GF,79.00,210.00,24.00,"NOP, ORL",11.00,1.00,Stanford,2015 Rnd 2 Pick 4,United States
Bobby Brown,PG,74.00,175.00,32.00,HOU,25.00,2.00,Cal State Fullerton,"2007 NBA Draft, Undrafted",United States
Jaylen Brown,SF,79.00,220.00,20.00,BOS,78.00,0.00,California,2016 Rnd 1 Pick 3,United States
Nicolas Brussino,G,80.00,195.00,23.00,DAL,54.00,0.00,Regatas Corrientes (Argentina),"2015 NBA Draft, Undrafted",Argentina
Reggie Bullock,SG,79.00,205.00,25.00,DET,31.00,3.00,North Carolina,2013 Rnd 1 Pick 25,United States
Trey Burke,G,73.00,191.00,24.00,WAS,57.00,3.00,Michigan,2013 Rnd 1 Pick 9,United States
Alec Burks,SG,78.00,214.00,25.00,UTA,42.00,5.00,Colorado,2011 Rnd 1 Pick 12,United States
Jimmy Butler,GF,79.00,231.00,27.00,CHI,76.00,5.00,Marquette,2011 Rnd 1 Pick 30,United States
Bruno Caboclo,PF,81.00,218.00,21.00,TOR,9.00,2.00,Pinheiros/Sky (Brazil),2014 Rnd 1 Pick 20,Brazil
Jose Calderon,G,75.00,200.00,35.00,"ATL, LAL",41.00,11.00,Laboral Kutxa Baskonia (Spain),"2003 NBA Draft, Undrafted",Spain
Kentavious Caldwell-Pope,SG,77.00,205.00,24.00,DET,76.00,3.00,Georgia,2013 Rnd 1 Pick 8,United States
Isaiah Canaan,G,73.00,201.00,25.00,CHI,39.00,3.00,Murray State,2013 Rnd 2 Pick 4,United States
